original_text,augmented_text,intermediate_english
好大的字体 对我来说就像开了长辈关怀模式一样 放一个和9r的对比,"它的字体很大,就像我的扩大护理模型",It's a big font. It's like an extended care model for me.
来国企假装正式一下。,来做国事 假装是正式官员,Come to the state business and pretend to be official.
以写材料为祖国母亲庆生,庆祝父母的一生,To celebrate the life of mother and father.
2024 存图（1）,2024 保管(1),2024 Depository (1)
反正也挣不到几个钱 也攒不下几个钱 都花了去看世界吧,"我不能赚很多钱, 我不能节省很多钱。","I can't make a lot of money, I can't save a lot of money."
我这两天沾床就睡,我在床上睡了两天了,I've been sleeping in bed for two days.
羊 (SHEEP),羊群 (嘘),Sheep (SHEEP)
今天晚上的风有点微微醺的感觉 又到了感觉自己会发精神病的季节 虽然只是短短两天,"今晚的风感觉有点香, 和季节 当你觉得你会发疯, 即使它只是两天。","Tonight's wind feels a little fragrant, and it's the season when you feel like you're going to be insane, even though it's only been two days."
小镇爱情，县城文学,"小镇爱情,县文学","Small town love, county literature."
金秀贤别哭了，这家伙哭戏本来就好，哭对他来说不费吹灰之力。,金秀贤不会哭的 这家伙是个好人 哭不烦他,Kim Soo-hyun don't cry. This guy's a good one. Crying doesn't bother him.
想一想，问自己，莫打听。,"想想看,问问你自己,别问了","Think about it, ask yourself, don't ask."
嗯嗯是谁打游戏还要直播！,谁在玩游戏 活下来!,Mm-hmm. Who's playing the game and live!
忽然发现很久很久没喝瑞幸了,我突然发现我很久没喝酒了,Suddenly I found out I haven't had a drink for a long time.
今晚此时的天空,今晚的天空,♪ Tonight the sky ♪
银河快递亿颗原子的距离 (Nice to Meet You) 亿颗原子的距离 （）,很高兴认识你,Nice to Meet You
难得热和起来了 感觉再过几天又要降温,天气越来越暖和了 感觉几天后就会凉快了,It's getting warmer and it feels like it's gonna cool in a few days.
还有9天,九天时间,Nine days.
过山车式温度,逾逾逾逾逾逾越温度温度,Passover temperature
昨晚烤肉今天中午潮汕牛肉火锅 终于没有晚饭的欲望了,昨晚的烧烤在中午太热了 晚餐没有胃口,Last night's barbecue was so hot at noon that there was no appetite for dinner.
你好 大同,"你好,大东","Hello, Dae-tung."
Tea Time,茶茶时间,Tea Time
逆先妹妹的霹,第一姐姐的雷声,The thunder of the first sister.
over over！,"对不起,过头了!","I'm sorry, over over over!"
Day15 忙碌的一天,第15天 忙碌的一天,Day15. Busy day.
鲅鱼馅的,是鱿鱼,It's a squid.
月给我打电话：,光明召唤我:,Light called me:
学了一手手相分析 好像有点准,我学到了一点手对手的分析,I've learned a little bit of hand-to-hand analysis.
为啥我的ip地址是河北,河北为什么是我的IP地址?,Why is my ip address Hebei?
这种喜欢一首歌就疯狂听到吐的行为其实和父母知道我喜欢吃哪道菜就一直做这道菜的行为差不多嘛,我爸妈知道我喜欢什么时 也经常做同样的事,It's the same thing my parents used to do when they knew what I liked.
听闻神龙帮帮主大寿，大宴武林，大家伙都是去讨个好彩头的吧,听说神龙帮会大发雷霆,I heard that the Dragon Gang is going to make a big deal out of you.
20年荏苒。,20年了 20年了 20 years.,Twenty years.
工作以后时间被折叠 碎片化的时间从读看转到听 播客确实适合当下的快节奏 培养新的信息get习惯,"下班后,时间折叠起来,零散化的时间从阅读到听。","After work, time is folded, the time of fragmentation goes from reading to listening."
总结我的2024,总结一下我的2024年,Summarize my 2024.
夏天了？好热啊,夏天吗 好热,Summer? It's hot.
刚看了饺子以前的作品，在评论区看到以前的采访，有点意思。,"我刚刚看了之前的面团, 我在审查区见过它们。很有趣。","I've just looked at the dumplings before, and I've seen them in the review area. It's interesting."
我将约多多多女宝妈,我要问你那个女孩的妈妈的事,I'm going to ask you about the girl's mother.
谁与争峰。。。。。,与顶峰竞争的人,Who competes with the peak.
王力宏Im Alive Im Alive,活着 活着 活着,Im Alive Im Alive
本来因为周六起早去上课而不美妙的心情 因为吃到家门口热腾腾的包子而消解 罢了 大家都是在讨生活罢了,"周六早上去上学并不好, 但它只是吃门口的热包, 每个人都只是想谋生。","It wasn't nice to go to school on Saturday mornings, but it was just eating the hot buns at the door, and everybody was just trying to make a living."
草色遥看近却无,"草草是如此接近,它没有。","The grass is so close, it doesn't."
林宥嘉活像个npc 每年同一天在同一个地点的同一场音乐节刷新 说的就是你53北草,"Lin Yujia像NPC一样生活, 同样的音乐节每年在同一地方。","Lin Yujia lives like an npc, the same music festival in the same place every year."
五点水和一整颗心。 于是我取还昨日今日的云。,"五点水和一整颗心,我使昨日的云复燃。","Five points of water and a whole heart, so We took back the clouds of yesterday."
Please,请,Please
总结我的2024。,总结一下我的2024年,Summarize my 2024.
小学生春游综合症犯了,他有一个春季旅行综合症。,He's got a spring trip syndrome.
Kyoto,京都。 京都。,Kyoto.
此时明月孤悬天顶。,现在是月亮独处的时候了,This is the time for the moon to be alone.
同事给的葡萄风信子，好像种迟了,葡萄来自一个同事 看起来它们长得很晚了,The grapes came from a colleague. Looks like they're growing late.
今天周一,今天是星期一。,It's Monday.
初中生的攻击力,初中学生的罢工权,The strike power of junior high school students
这个手真是,这只手真的...,This hand is really...
随手拍，阴雨天的提神浓小杯,"用你的手,用你的眼睛 用你的眼睛 在雨中的眼睛","♪ With your hands, with your eyes ♪ ♪ With your eyes in the rain ♪"
广州外国人多的让我觉得我才是外国人,"我想我是个外国人,在广州有很多外国人",I think I'm a foreigner with a lot of foreigners in Guangzhou.
想贴贴的姥爷和不想贴贴的宝宝,老家伙谁想要贴纸 和婴儿谁不想要一个。,The old man who wants a sticker and the baby who doesn't want one.
𝚝𝚊𝚔𝚎 𝚊 𝚋𝚒𝚝𝚎( ч๑ ) 东莞bite,略取( ),Take a bit ()
该把我的个人假期计划提前了。,是时候推进我的私人休假计划了,It's time to advance my personal leave plan.
超大的葛根,这是一个巨大的伽根。,It's a huge Gagan.
广东的最后一条plog 的最后一张照片写的我要歇几天再旅 结果还没发出去了已经又出发了,广东最后一页的最后一张照片 说我要休息几天旅行 我马上就到,"The last photo of Guangdong's last page says I'm going to take a few days off to travel, and I'm on my way."
俺是一个大圆脸,我是一个大圆脸。,I'm a big round face.
什么水蜜桃18一个 我尝尝,我试试看,I'll try it.
今天也会顺利度过,今天也是个好日子,"It'll be a good day, too."
总结我的2024,总结一下我的2024年,Summarize my 2024.
还在下雪，春天呢,还在下雪 春天,It's still snowing. Spring.
偷感很强的拍一张,这是一个非常强烈的盗窃感。,It's a very strong sense of theft.
日常 今天跑休，啥也不干。躺平吧。昨日握了小妹妹的手，居然说我的手嫩 ，那是胖,昨天我握着妹妹的手 说我的手很年轻 很胖,It's a day off. It's nothing. Lie flat. Yesterday I held my little sister's hand and said my hand was young. It was fat.
我的快乐源泉 好运连连你妈 带父母适合去什么城市,祝你母亲和父母好运,Good luck with your mother and your parents.
暮色沉沉,暮暮很重,Twilight is heavy.
时隔多日 又来做艾灸了 因为他们要搬新址了 没有现在方便了,我很久没来过这里做针灸了 因为他们在移动新的地址,"It's been a while since I've been here to be an acupuncture, because they're moving a new address."
嗯，嗯，嗯，嗯，谢谢嗷，正好不是很好看，可以不放大图了,"好,好,好,好,好,谢谢你,很漂亮吧?","Well, well, well, well, well, thank you. Isn't it pretty?"
你好 世界 日复一日,大家好 全世界 日复一日,Hello. The world. Day after day.
东莞应该是珠三角除了广州和佛山外我去得最多的城市啦 （毕业以后）,东中应该是我最喜欢的城市 除了广州和佛山,"Dong-jung should be the city where I've been the most, except Guangzhou and Fushan."
：吃饭 ：不吃。吃个球 ： 结果我一抬头，看到他真的拿着一个球给我吃,":吃:不,吃一个球:我抬头看,看到 他实际上有一个球给我。",: Eating: No. Eating a ball: And I looked up and saw that he actually had a ball for me.
大年初四一大早赶回家,我明天一早就回家,I'll be home in the morning.
昨天去吃啦,我昨天去吃饭了,I went to eat yesterday.
我司在玩一种很抽象的国风,我的师正在吹着非常抽象的全国风。,My division is playing a very abstract national wind.
目标写在钢板上，方法写在沙滩上。,目标写在钢板上 方法写在海滩上,The target is written on the steel plate and the method is written on the beach.
沐沐的小黑屋  善待情绪，认真生活。 以后不单发了，都记在这里吧,"这是一个有点暗的房间, 它是很好的,这是一个美好的生活, 和它都在这里。","It's a little dark room, it's nice and it's a good life, and it's all here."
好风凭借力，送我上青云。总是时不时地想到这两句话,好风带我到天上去 总是不时想到这些字眼,The good wind brings me to the sky. It's always thought of these words from time to time.
谨记：不要接受你不想成为的人的建议,记住:不要接受一个你不想成为的人的建议。,Remember: do not take advice from someone you don't want to be.
昨晚跑的60min有氧。今天下雨，跑休 想吃车轮饼，然而没买到芋泥的,"昨天晚上60分有氧运动,下雨了,今天休息,想吃轮盘,但没吃焦油","The 60-min ran aerobic last night. It's raining, taking a break today. Wanted to eat a roulette, but didn't get a taro."
双十一眼花缭乱 不知道咋买 于是不买了，跑步去日常用的东西在贵能贵到哪去,我不知道怎么买 所以我不买,"I don't know how to buy them, so I don't buy them."
上次熬夜PPT还是去年这个时候的述职，同样的只是述职，此外一切都不同了,上次我熬夜的时候 PPT在去年接了这份工作,"Last time I stayed up late, the PPT took the job last year at this time. It was just the same. Everything was different."
